Inflight wifi service,Online boarding,Business Travel,Inflight entertainment,Loyal Customer,Checkin service,Flight Distance,Age,Seat comfort,Class
0,5,1,5,1,3,1676,35,4,3
2,4,1,4,1,3,2193,38,5,3
4,5,0,3,1,2,733,45,1,1
1,4,1,5,1,3,3945,41,5,3
3,3,0,5,1,4,479,27,2,2
3,4,1,3,1,2,362,43,4,1
4,5,1,4,1,5,809,36,4,1
2,4,1,3,1,3,667,54,4,1
3,3,1,2,0,3,246,42,2,1
2,5,1,4,1,3,1346,45,4,3
4,4,0,4,1,3,337,32,4,1
0,5,1,2,1,2,129,46,3,3
1,1,0,4,1,5,458,22,4,1
1,5,1,4,1,4,157,54,5,3
5,5,1,3,0,3,702,25,3,3
2,2,0,3,1,4,1517,59,3,1
2,2,1,5,0,1,163,29,5,1
2,2,1,2,0,5,2405,35,2,2
3,3,0,3,1,5,236,48,2,1
2,4,1,4,1,5,692,27,4,3
1,1,0,5,1,1,1504,13,5,1
3,3,1,1,0,5,692,35,1,1
3,3,1,3,1,3,601,54,4,3
3,4,1,4,1,5,874,45,5,3
3,5,1,4,1,3,270,49,4,3
4,4,1,1,0,3,404,37,1,1
3,2,1,3,1,4,2386,54,2,3
1,5,1,5,1,4,296,48,4,3
1,3,0,5,1,3,452,47,3,3
3,3,1,1,0,5,305,48,1,3
4,4,0,4,1,3,445,36,4,2
1,1,0,4,1,4,603,29,4,1
5,5,0,5,1,4,220,57,5,1
2,2,1,5,0,5,427,42,5,1
5,4,1,5,1,5,2928,29,5,3
1,1,1,1,1,3,651,22,1,3
5,4,1,4,1,4,251,24,4,3
5,2,1,5,1,3,627,58,1,1
2,2,1,2,0,2,569,18,2,1
1,1,1,3,0,1,1010,18,3,1
4,5,1,4,1,3,1773,46,5,3
1,1,1,1,1,1,651,45,1,1
1,1,0,5,1,4,693,30,4,2
4,5,1,2,1,5,1969,39,4,3
2,2,1,5,0,3,1180,38,5,3
1,5,1,4,1,5,2238,57,5,3
4,4,1,3,1,3,1185,50,3,1
2,2,1,4,0,2,1214,28,4,1
4,3,0,4,1,3,2917,50,3,1
3,3,0,5,1,5,631,19,5,1
3,4,1,4,1,3,612,40,5,3
4,5,1,5,1,5,2218,59,5,3
1,1,1,1,1,4,1592,45,1,1
3,4,1,5,1,3,2301,42,4,3
4,4,0,4,1,5,926,29,4,1
2,3,1,2,0,3,199,16,2,1
2,2,0,2,1,3,1346,27,2,1
4,4,1,5,1,4,952,54,5,1
3,3,1,3,0,2,628,40,3,3
3,3,0,1,1,4,1463,42,1,1
2,4,1,4,1,5,1024,30,4,3
4,2,1,4,1,3,496,58,2,2
2,5,1,5,1,4,3385,48,4,3
4,5,1,5,1,3,2168,30,5,3
3,4,1,5,1,3,3280,52,3,3
2,3,1,2,1,1,552,34,4,3
4,4,1,2,1,4,3470,36,5,3
4,4,1,5,1,3,429,51,5,3
5,4,1,2,1,5,365,45,4,3
2,3,1,2,1,2,3497,37,3,3
4,4,1,5,1,4,937,39,4,3
3,3,1,3,1,3,595,42,4,1
3,4,1,5,1,4,1669,49,4,3
2,2,1,2,1,4,2713,30,2,3
4,4,1,4,0,3,606,48,1,3
5,3,1,3,1,1,3683,22,3,3
4,5,1,2,1,3,2432,49,4,3
4,4,0,5,1,1,733,40,4,1
5,2,1,2,1,1,391,32,2,3
3,4,1,5,1,4,867,49,1,3
3,3,1,4,0,4,119,37,3,1
3,3,1,3,1,1,2050,30,3,3
3,3,0,1,1,5,296,49,1,1
1,5,1,5,1,5,3389,34,5,3
1,5,1,4,1,4,1599,58,5,3
2,3,1,3,1,2,579,51,2,2
2,5,0,2,1,3,563,50,4,1
3,4,1,4,1,3,3142,30,5,3
2,2,0,2,1,4,1660,22,2,1
5,5,0,2,1,3,852,10,2,1
0,0,0,3,1,4,585,42,3,1
1,1,0,2,1,5,1598,66,2,1
2,3,0,3,1,1,1562,41,3,1
3,4,1,3,1,3,3980,60,3,3
4,4,1,4,1,3,956,16,2,1
3,3,0,2,1,3,227,36,2,1
1,1,0,2,1,4,802,35,2,1
4,0,0,2,1,3,240,24,2,1
0,4,1,2,1,2,216,60,4,3
1,5,1,5,1,4,3399,58,4,3
3,3,1,5,0,4,986,23,4,1
5,5,1,5,1,2,2228,62,2,3
3,3,0,4,1,1,1562,21,4,1
0,0,0,4,1,5,782,9,4,1
3,3,0,1,1,3,545,14,1,1
4,4,1,4,1,2,1173,33,4,1
3,5,1,3,1,5,2645,59,4,3
3,5,1,5,1,3,679,58,4,3
0,0,0,3,1,2,319,26,3,1
4,5,1,4,1,3,719,48,4,3
4,4,1,1,0,3,611,36,1,1
4,1,1,4,1,3,163,63,5,2
3,5,1,4,1,3,2288,47,5,3
3,3,1,4,1,4,674,51,4,1
1,1,1,2,0,3,873,32,2,3
1,1,0,3,1,2,250,41,3,1
2,5,1,3,1,3,1570,46,4,3
1,1,1,1,0,2,785,70,1,3
5,5,1,5,1,3,2328,43,4,3
3,4,1,4,1,5,1180,46,5,3
2,5,0,5,1,5,680,51,5,1
2,5,1,4,1,3,1990,60,5,3
2,2,0,1,1,4,235,15,1,1
5,5,1,2,1,5,539,34,5,3
3,5,1,4,1,4,1121,49,4,3
4,4,1,3,1,4,566,46,3,1
3,3,1,5,0,2,948,30,5,1
3,3,1,5,0,1,145,26,5,1
5,4,0,2,1,3,607,17,2,1
3,3,1,3,1,1,3092,30,3,3
1,4,0,2,1,4,483,67,5,2
3,3,0,2,1,5,872,34,1,1
5,5,1,5,1,3,2417,43,5,2
5,4,1,5,1,5,373,36,4,3
2,2,0,3,1,1,1501,31,2,1
2,1,0,5,1,4,391,50,4,1
0,3,0,4,1,3,421,58,3,1
4,4,1,4,1,1,1901,18,4,3
3,3,0,1,1,4,335,11,1,1
2,2,1,3,1,2,402,49,2,2
1,4,1,3,1,5,2747,52,4,3
1,5,1,4,1,5,2405,52,5,3
5,4,1,4,1,3,2589,44,4,3
3,1,0,3,1,5,2475,55,5,1
4,4,1,3,1,5,1848,56,5,3
3,3,1,4,0,4,174,16,4,1
4,4,0,5,1,5,468,15,5,2
3,3,0,1,1,3,1118,22,1,3
2,2,1,4,0,2,1009,18,4,1
4,5,1,4,1,5,3462,51,4,3
0,4,1,4,1,5,3055,55,5,3
2,3,0,2,1,4,1195,26,2,1
4,4,0,3,1,3,689,34,1,1
5,5,1,5,1,3,605,22,5,1
4,4,1,2,1,5,1778,56,4,3
1,3,1,1,1,4,787,61,3,1
1,1,0,5,1,2,139,15,5,1
5,5,1,5,1,4,500,40,4,3
4,3,1,2,0,3,528,22,2,1
1,1,1,5,0,2,761,15,5,1
5,1,1,5,1,2,181,45,5,3
2,2,0,5,1,5,588,33,5,1
2,2,0,3,1,4,632,43,5,1
5,5,1,5,1,1,641,41,5,1
2,2,1,5,0,5,1587,43,5,3
1,1,0,1,1,3,271,34,1,1
2,2,1,4,0,2,201,80,4,1
4,0,0,3,1,2,255,20,3,1
2,2,1,5,0,5,888,42,5,3
2,5,1,3,1,5,2638,45,5,3
3,3,1,4,0,4,257,44,4,3
2,2,1,5,0,2,1043,15,5,1
4,4,1,5,0,3,696,28,5,3
4,4,1,4,1,4,302,33,4,1
1,1,1,1,0,4,1077,16,2,1
3,3,1,4,0,2,522,28,4,1
2,4,1,4,1,4,2134,44,5,3
3,4,1,3,1,3,1041,45,4,1
4,4,1,4,1,1,517,53,4,1
2,5,1,4,1,5,1036,40,4,3
3,5,1,4,1,4,3723,33,4,3
4,1,1,3,0,2,1178,21,2,1
3,4,1,5,1,5,596,22,5,3
1,1,0,1,1,3,997,36,1,1
2,2,1,3,0,4,868,29,5,1
0,0,1,5,1,3,1609,15,5,1
4,3,1,5,1,5,1616,46,5,3
4,4,0,5,1,4,2586,66,4,1
4,4,1,1,0,3,77,47,1,1
1,4,1,2,1,3,1391,48,5,3
3,2,1,2,1,3,1407,28,2,3
5,5,1,1,0,5,927,22,1,3
2,5,0,4,1,3,486,55,4,1
5,4,1,5,1,5,1371,40,4,3
5,4,0,1,1,5,192,59,5,1
3,3,1,3,1,3,1052,46,3,1
4,4,1,1,0,5,349,56,4,2
0,5,1,3,1,4,268,42,4,3
3,5,1,5,1,3,2860,15,5,3
3,3,1,3,1,1,337,59,3,1
3,3,1,3,1,2,550,65,3,1
2,2,0,2,1,1,1172,7,2,1
2,5,0,4,1,4,1205,47,5,1
2,0,0,2,1,3,239,22,2,1
2,2,0,3,1,2,236,42,4,1
1,1,1,2,0,3,1618,42,2,1
4,4,1,5,0,3,719,26,5,3
2,2,1,3,0,4,299,26,3,3
3,3,0,5,1,4,828,9,4,1
2,2,0,4,1,4,2296,59,3,1
3,3,1,3,0,4,261,32,3,2
2,5,1,2,1,4,1464,52,5,3
1,1,0,3,1,1,599,57,3,1
1,5,1,3,1,5,813,58,5,3
1,4,1,5,1,3,3271,47,5,3
3,4,1,3,0,4,196,32,3,3
2,3,0,5,1,5,507,57,5,1
1,1,1,4,0,1,301,26,3,1
5,4,1,5,1,5,561,51,4,3
1,1,0,5,1,3,746,20,5,2
5,5,1,5,1,3,460,36,5,2
4,4,1,4,1,5,1721,48,4,1
4,4,1,3,0,4,834,25,3,3
2,2,1,2,1,3,292,39,2,1
5,0,1,1,0,4,89,39,1,3
5,4,1,4,1,4,1407,21,4,3
2,2,0,3,1,1,488,39,1,1
3,1,1,5,1,3,3640,45,2,3
2,4,1,5,1,5,1846,53,4,3
1,5,1,5,1,5,327,41,5,3
2,2,1,3,0,4,247,37,3,3
3,3,0,4,1,4,929,32,4,1
4,3,1,3,1,4,67,38,4,3
1,1,1,1,1,2,2475,22,3,2
1,5,1,4,1,4,978,44,5,3
3,3,1,2,0,4,2052,26,3,3
3,5,0,2,1,1,455,29,2,1
2,2,1,2,1,3,1183,48,2,1
4,4,1,4,1,3,1788,32,4,3
4,4,1,3,1,4,2504,25,4,3
5,5,1,2,0,4,719,25,4,3
0,0,1,2,0,4,314,30,2,2
2,3,1,3,1,5,3350,23,3,3
3,3,1,3,1,1,985,28,3,1
5,4,1,5,1,2,1190,38,5,1
2,3,0,2,1,5,1282,11,2,1
1,4,1,4,1,4,581,60,4,3
3,3,0,1,1,4,1211,65,1,1
1,0,1,3,1,2,3106,26,2,3
4,4,1,3,0,3,331,26,4,1
1,5,1,4,1,1,101,62,5,3
1,0,0,3,1,1,1750,46,3,1
2,2,0,1,1,5,175,32,1,1
1,0,0,1,1,1,726,19,1,1
0,0,1,2,1,2,991,28,2,1
3,3,1,4,0,3,134,54,4,3
4,4,0,2,1,3,175,44,4,1
3,3,0,2,1,4,200,39,2,1
4,0,0,4,1,3,268,70,4,1
3,4,1,4,1,4,3852,57,5,3
5,5,1,5,1,2,1715,16,5,3
1,4,1,5,1,3,2227,39,5,3
2,4,1,2,1,3,196,53,4,1
0,4,1,5,1,4,248,50,5,3
1,1,1,4,0,4,2556,26,4,3
3,2,0,4,1,3,1199,65,2,3
4,5,1,4,1,4,272,46,5,1
3,3,1,3,1,3,404,29,3,1
5,5,1,5,1,4,871,67,5,1
3,4,1,3,1,2,517,48,4,1
3,3,1,3,1,2,2121,18,3,3
2,2,1,5,0,5,631,38,5,3
4,4,1,4,1,4,1389,58,5,3
3,3,1,1,0,3,413,35,1,1
3,3,1,4,1,4,1788,48,3,1
4,4,1,1,0,4,696,25,1,3
3,1,0,5,1,2,500,57,5,1
3,3,0,2,1,2,120,39,2,1
1,1,1,1,0,4,328,22,1,1
3,2,1,2,1,2,110,57,3,3
2,2,0,4,1,2,594,24,1,1
3,3,1,1,0,4,398,36,1,1
4,5,1,5,1,5,867,18,5,3
2,4,1,5,1,4,2234,54,4,3
0,5,1,2,1,4,1563,43,5,3
3,3,1,1,0,2,116,50,1,2
4,4,0,3,1,4,407,24,5,1
2,2,1,3,1,3,816,42,3,1
3,2,1,3,1,1,705,25,1,2
3,4,1,4,1,5,2688,41,5,3
5,4,1,4,1,5,486,55,5,3
2,2,0,3,1,3,300,36,3,1
1,5,1,5,1,4,2743,23,5,3
2,2,0,3,1,4,602,54,3,1
2,4,1,3,1,3,447,56,4,3
4,1,1,4,1,5,533,49,2,1
5,4,1,5,1,4,134,72,4,3
1,5,0,2,1,3,311,63,4,1
5,5,1,4,1,3,2300,51,5,3
4,3,1,4,1,4,1325,45,2,3
5,4,1,5,1,5,1962,51,5,3
2,4,1,2,1,2,1175,47,3,3
2,1,1,4,0,1,721,26,1,3
3,5,1,5,1,5,1568,47,4,3
4,4,1,3,1,1,909,22,3,3
3,4,0,2,1,2,1066,48,4,1
5,5,1,3,1,3,989,50,5,3
2,2,0,2,1,2,867,20,4,3
2,2,1,2,1,2,2288,66,2,2
3,3,0,4,1,2,1089,15,2,1
3,3,0,5,1,5,304,23,5,1
2,2,1,5,0,4,541,22,5,1
2,4,1,5,1,3,2586,33,4,3
1,1,0,3,1,3,2519,24,3,1
2,2,0,5,1,4,328,17,5,1
0,5,1,4,1,5,108,53,4,3
3,5,1,5,1,3,2916,27,5,3
2,2,1,3,1,2,160,17,2,3
5,5,1,5,1,3,277,32,5,2
2,2,0,2,1,2,337,19,2,2
4,4,0,5,1,5,1192,67,5,1
5,4,1,4,1,3,1438,37,4,3
3,4,1,5,1,5,966,49,5,3
3,3,1,4,0,4,95,25,5,2
3,5,1,4,1,5,2296,46,5,3
4,4,0,1,1,3,583,36,1,1
5,3,1,5,1,4,257,65,3,1
3,5,1,4,1,3,1426,43,4,3
3,3,1,3,1,2,1187,24,3,3
3,3,1,3,1,1,1066,48,3,2
2,4,1,2,1,3,3258,38,4,3
3,3,1,2,1,2,145,49,2,1
2,5,1,5,1,2,127,22,4,3
4,5,1,4,1,3,2737,50,5,3
2,2,1,3,0,2,679,44,4,1
2,2,1,2,0,4,1464,27,2,3
3,5,1,5,1,1,657,30,5,2
5,4,1,4,1,5,544,33,4,3
4,4,1,4,1,3,868,57,5,3
2,3,0,4,1,3,612,7,4,1
4,4,0,4,1,1,1814,30,4,1
3,4,1,5,1,4,1642,55,5,3
2,2,0,2,1,3,594,42,2,1
2,2,0,5,1,4,936,57,5,1
4,4,0,4,1,3,301,55,3,1
0,0,1,3,1,5,399,23,3,1
3,2,1,3,1,2,259,57,4,2
3,3,1,3,0,4,1091,20,3,1
1,3,1,1,1,1,405,37,3,3
5,2,1,5,1,5,3446,45,2,3
4,4,1,5,1,5,1923,49,5,3
3,3,0,1,1,5,1118,64,1,1
1,2,1,1,1,2,2134,46,2,3
0,0,0,3,1,2,1892,10,4,1
4,4,1,4,0,5,337,65,4,3
3,3,0,1,1,3,1558,49,3,1
3,3,1,2,0,3,229,16,2,1
5,5,0,5,1,2,1235,51,5,1
2,2,0,2,1,1,937,41,2,1
5,5,1,4,1,3,3399,39,5,3
2,2,1,3,0,3,1024,31,3,1
5,5,1,5,1,4,2672,30,5,3
4,4,0,3,1,5,1013,12,4,1
5,3,1,5,1,1,403,51,2,2
3,3,0,4,1,4,515,68,4,1
5,5,1,5,1,4,444,38,5,1
3,4,0,4,1,4,1065,13,4,1
2,2,0,5,1,3,334,19,5,1
4,4,1,5,0,3,919,29,5,3
3,2,1,4,1,1,529,58,1,3
0,5,1,1,1,4,1990,35,5,3
1,4,1,1,1,3,693,64,3,3
3,1,0,5,1,1,2583,66,1,1
1,1,1,1,1,2,2959,24,1,3
2,3,1,5,1,4,157,50,4,3
3,3,0,4,1,3,526,11,4,1
3,3,1,3,0,5,666,37,4,3
5,5,1,5,1,3,315,64,5,3
2,2,1,2,1,2,2608,54,3,3
4,4,1,1,0,4,406,46,1,3
3,3,0,5,1,5,1089,25,4,1
2,2,0,4,1,1,255,45,2,1
2,4,1,1,1,2,332,53,3,2
3,4,1,4,1,3,376,25,4,3
2,3,0,2,1,4,837,12,3,2
4,4,1,4,1,3,205,59,4,2
1,1,0,2,1,4,546,34,2,1
1,2,0,4,1,3,1846,63,4,1
2,5,1,3,1,5,1175,35,5,3
5,5,1,2,0,3,577,27,2,3
4,4,1,5,1,5,190,51,5,3
3,4,1,3,1,1,3621,37,4,3
1,0,1,1,0,5,270,36,1,3
2,2,0,1,1,2,231,40,1,1
2,4,1,3,1,5,395,47,4,3
4,4,1,4,1,4,102,55,4,1
2,0,0,1,1,4,158,68,1,1
2,2,1,2,1,3,1411,29,2,1
2,4,1,4,1,5,2477,54,4,3
5,3,1,4,1,5,671,43,5,1
3,3,1,1,1,3,2760,57,3,3
3,3,1,3,1,2,1614,58,3,3
3,4,1,4,1,2,3276,30,4,3
4,4,1,4,1,2,522,34,4,1
1,4,1,5,1,5,785,44,4,3
2,2,0,1,1,5,1120,26,1,1
3,3,0,1,1,1,597,65,1,2
3,4,1,5,1,3,1727,53,5,3
3,3,0,2,1,4,253,9,2,2
3,3,1,3,0,1,1605,39,3,3
3,3,0,4,1,3,227,37,4,1
1,4,0,4,1,4,430,68,5,2
2,4,1,4,1,5,1407,24,4,3
3,3,0,1,1,4,414,53,3,3
3,3,0,4,1,4,602,21,4,1
5,4,1,4,1,5,1431,46,4,3
4,4,0,4,1,4,130,36,4,1
5,1,1,5,1,4,748,48,4,3
3,3,1,3,0,1,236,40,3,3
1,1,1,5,0,5,1262,29,5,1
3,4,1,5,0,4,296,24,5,1
3,1,1,3,1,1,3807,51,1,3
1,1,1,5,0,4,862,24,5,3
3,3,0,2,1,3,333,51,2,1
3,3,1,3,1,2,1089,40,3,1
4,5,1,5,1,5,325,47,5,3
4,4,1,3,1,4,4983,31,4,1
1,1,0,4,1,1,2300,31,1,1
4,5,1,5,1,5,3831,45,5,3
2,5,1,3,1,5,2063,49,5,3
5,4,1,4,1,2,964,18,4,3
3,3,1,5,1,5,2075,50,3,3
1,4,1,4,1,4,901,44,5,3
1,1,1,4,0,4,448,21,4,1
3,5,1,5,1,4,1754,40,5,3
3,5,1,5,1,5,486,50,4,3
2,3,1,2,1,2,3965,36,3,3
1,1,0,3,1,4,669,54,3,1
2,2,0,5,1,4,236,16,5,1
2,2,1,3,0,2,1173,11,2,3
2,5,1,2,1,5,1524,61,5,3
2,3,1,2,1,4,541,25,3,1
3,3,1,5,0,5,427,34,3,1
3,3,1,1,0,4,919,38,1,3
3,3,0,1,1,3,1107,42,1,2
3,4,1,1,0,4,632,26,1,3
4,4,1,4,0,1,1372,25,4,1
4,4,1,4,0,5,1310,22,2,3
4,5,1,2,1,3,2174,57,4,3
4,4,1,5,1,3,626,43,5,1
1,1,0,2,1,3,937,40,2,2
3,3,1,3,0,4,1416,29,3,3
4,4,1,3,1,5,376,46,1,3
0,4,1,5,1,4,2496,57,5,3
3,5,0,4,1,3,1005,67,5,1
2,2,1,2,1,4,89,33,2,3
4,3,1,4,1,5,1892,42,5,3
4,4,1,3,0,4,1010,23,3,1
1,1,1,2,1,1,2704,39,1,3
4,4,1,4,1,5,3557,40,5,3
2,2,1,4,0,5,247,15,4,1
3,4,1,3,1,2,1953,17,3,3
2,4,1,2,1,3,2096,40,4,3
2,4,1,2,1,2,1119,47,4,2
2,2,1,2,1,2,965,20,2,1
3,3,1,3,1,2,2561,19,3,3
4,4,0,5,1,4,294,62,5,1
3,3,1,3,0,5,2165,14,5,1
1,1,0,5,1,4,184,26,5,2
2,4,0,5,1,4,473,44,5,1
3,3,0,4,1,3,236,19,5,1
3,5,1,5,1,5,3077,49,5,3
1,5,1,5,1,5,585,47,5,3
5,5,1,5,1,5,2717,59,5,1
2,5,1,2,1,2,1024,51,2,1
2,3,0,3,1,3,2504,46,3,1
3,3,0,5,1,3,1235,69,3,1
2,3,0,4,1,3,2521,63,3,2
2,4,1,4,1,5,227,56,5,3
2,2,1,5,0,5,1085,48,5,3
3,4,1,5,1,4,1010,49,4,3
4,4,1,4,1,3,577,49,5,3
5,2,1,4,1,5,201,57,3,3
1,4,1,4,1,4,666,46,5,3
2,2,0,5,1,4,639,20,5,1
4,4,1,5,0,5,462,50,5,1
3,3,0,2,1,4,2026,17,2,1
4,4,1,3,0,4,175,37,3,3
5,5,0,4,1,4,1372,32,4,1
2,2,1,4,0,1,363,32,4,3
3,3,1,2,1,3,529,50,2,1
0,4,1,3,1,3,157,40,5,3
4,4,1,1,0,5,522,32,1,3
3,4,1,4,1,4,1501,26,4,3
2,2,1,1,1,3,612,51,1,1
2,2,1,1,0,2,338,29,1,2
4,4,1,4,1,5,3477,41,5,3
3,3,0,1,1,5,725,32,5,1
1,5,1,4,1,5,2552,49,5,3
5,5,0,3,1,1,216,41,3,1
3,3,0,4,1,4,1056,37,4,1
3,3,1,3,1,3,3421,66,3,3
2,2,0,5,1,5,944,35,5,1
2,2,0,1,1,4,1660,18,1,1
4,2,1,4,1,2,2247,60,2,3
1,1,1,2,0,2,141,40,2,1
3,4,0,4,1,4,308,55,3,2
2,3,0,3,1,4,429,67,3,2
1,4,1,2,1,5,3033,56,4,3
2,4,1,5,1,3,946,50,4,3
2,4,1,2,1,4,1199,58,3,3
2,2,1,3,0,4,227,26,3,1
2,4,1,3,1,4,704,48,4,3
2,4,0,1,1,3,2586,68,2,1
3,3,1,3,1,3,446,48,3,1
2,5,1,5,1,5,2835,30,4,3
5,5,1,4,1,4,991,50,4,3
1,1,0,4,1,3,404,66,4,1
1,4,1,4,1,4,2399,31,4,3
3,3,1,3,1,4,204,35,3,1
3,3,0,2,1,4,680,26,2,1
3,4,1,4,1,4,1971,20,4,3
3,3,1,1,0,5,337,44,1,3
5,5,0,5,1,2,2079,36,5,1
1,1,0,3,1,5,1027,41,1,1
1,5,1,5,1,5,3671,45,4,3
4,2,1,2,1,4,2529,28,2,3
4,4,1,5,1,5,2221,46,4,3
0,0,1,1,0,4,711,14,1,1
1,3,1,1,1,3,451,52,3,3
3,3,0,2,1,2,460,32,2,1
5,5,1,5,1,4,3752,30,5,3
2,4,1,5,1,3,1896,60,4,3
5,5,1,5,1,1,1190,77,5,2
3,4,1,5,1,3,414,38,2,3
5,5,1,5,1,2,331,51,5,1
3,3,0,3,1,4,226,58,2,1
3,4,1,4,1,5,2448,54,4,3
2,3,1,2,1,4,387,22,2,3
3,3,1,1,0,4,1014,8,1,2
2,2,0,4,1,4,2248,39,4,1
5,4,1,4,1,4,2306,57,4,3
2,2,0,5,1,4,2475,70,5,2
0,0,0,4,1,5,447,52,4,2
4,3,1,4,1,1,3309,42,3,3
1,3,0,5,1,4,692,48,3,1
1,5,1,5,1,5,1855,43,5,3
4,4,1,2,0,1,1010,25,2,1
4,5,1,4,1,4,369,55,2,1
3,4,1,4,1,3,1747,8,4,3
2,2,1,2,1,3,1188,58,2,1
3,3,0,4,1,3,1587,50,5,1
2,2,1,3,0,4,521,23,1,1
4,4,1,4,1,2,611,55,4,1
3,3,1,5,0,3,541,26,5,3
5,4,1,5,1,5,1560,41,4,3
5,4,1,5,1,1,3293,56,5,3
5,3,0,5,1,4,650,59,4,1
3,3,0,5,1,3,610,37,5,1
4,5,1,5,1,4,2256,46,4,3
5,5,0,5,1,2,369,29,5,1
1,5,1,5,1,5,1949,57,4,3
4,4,1,4,1,3,301,49,5,3
3,3,1,3,1,1,3194,26,3,3
3,3,0,4,1,1,427,65,4,1
3,0,0,4,1,3,184,19,4,2
2,4,1,4,1,4,731,58,4,3
1,5,1,5,1,3,1784,32,5,3
4,2,1,4,1,3,3947,43,3,3
5,5,1,4,1,3,3750,47,5,3
2,3,1,2,1,4,862,69,4,3
1,4,1,5,1,4,3319,58,4,3
1,4,1,5,1,4,532,44,4,3
2,4,1,5,1,4,936,43,5,3
5,5,1,5,1,5,1797,20,5,3
5,1,1,3,1,5,3242,38,1,3
4,4,1,4,1,2,347,33,4,2
5,5,1,5,1,5,3051,44,4,3
3,3,0,2,1,3,453,50,2,2
3,5,1,5,1,4,3281,46,5,3
5,5,1,4,1,4,1831,52,2,3
3,5,0,5,1,3,301,48,4,1
3,3,1,1,0,4,594,23,1,1
3,4,0,2,1,1,898,64,5,1
4,4,1,2,1,4,1014,49,4,2
3,3,0,2,1,5,1045,35,5,2
3,5,0,3,1,5,503,51,4,3
3,5,1,5,1,3,226,62,4,3
1,4,1,4,1,3,3072,16,5,3
4,5,1,5,1,4,912,48,4,3
3,3,0,1,1,4,481,37,1,1
2,2,0,3,1,5,912,19,4,2
2,2,0,1,1,4,366,27,1,1
1,1,0,4,1,4,1194,61,4,1
3,3,1,4,0,2,1133,29,4,1
1,1,1,5,1,4,3230,40,1,3
5,5,1,5,1,4,946,41,5,1
4,4,0,5,1,1,259,47,3,1
2,2,1,3,0,4,719,29,3,3
4,4,0,5,1,5,642,20,5,1
2,5,0,2,1,5,1750,21,5,3
1,4,1,5,1,5,641,34,4,3
1,3,1,4,1,4,122,49,4,3
1,1,1,5,0,2,874,26,1,1
2,3,1,2,1,4,1953,9,1,2
2,2,0,3,1,1,451,59,2,1
1,1,1,3,0,2,1276,23,3,1
5,5,0,2,1,1,370,57,2,1
1,3,1,1,1,4,2206,69,4,3
3,3,0,2,1,1,954,57,2,2
3,3,1,2,1,1,834,51,2,1
1,1,0,4,1,4,459,59,4,1
1,1,0,5,1,1,390,55,3,2
4,4,1,4,1,2,677,40,4,1
4,4,1,3,0,5,1182,45,1,3
1,4,1,4,1,3,2234,57,4,3
2,4,0,4,1,4,633,62,4,1
1,1,0,5,1,5,164,48,1,1
3,4,1,4,1,5,429,44,5,3
5,5,1,3,1,5,2496,32,5,1
1,1,0,4,1,1,650,38,4,1
3,4,1,4,1,4,3603,55,5,3
4,3,1,4,0,3,672,30,4,2
3,4,1,3,1,1,957,72,4,1
1,5,1,4,1,3,2844,48,5,3
4,4,1,4,1,3,2965,36,4,3
1,4,1,2,1,4,3227,60,4,3
2,4,1,4,1,3,3744,34,4,3
4,3,0,3,1,4,550,50,3,1
2,2,1,4,0,2,401,15,4,1
3,3,1,3,1,1,589,57,3,1
2,2,1,2,1,1,3313,13,2,3
2,3,1,2,1,4,3710,61,3,3
2,2,1,1,0,3,1674,15,1,1
4,5,1,4,1,3,3757,42,5,3
1,5,1,5,1,3,3320,33,3,3
2,2,0,5,1,4,159,36,5,1
3,3,0,3,1,3,1171,60,3,2
2,2,1,2,1,4,1124,30,2,3
5,5,1,2,0,4,1127,27,2,3
1,1,0,1,1,4,305,35,1,1
3,5,0,3,1,3,589,64,4,2
2,2,0,2,1,5,1199,25,2,1
4,4,0,2,1,1,951,7,2,1
3,4,0,4,1,5,628,58,5,1
4,4,0,3,1,3,919,29,3,1
4,4,0,5,1,5,109,38,5,1
3,3,0,2,1,2,2279,68,2,1
4,2,1,2,1,1,73,30,4,3
4,4,1,4,1,1,746,30,4,2
3,2,0,5,1,3,997,41,2,2
1,5,1,5,1,4,1998,44,5,3
3,2,1,4,0,4,990,48,4,1
3,4,0,2,1,1,675,51,3,1
4,4,1,2,0,3,936,24,2,1
4,5,1,5,1,1,651,30,5,3
4,4,1,3,0,2,1050,25,3,1
2,2,0,4,1,5,337,10,4,1
2,3,1,2,1,1,3185,40,3,3
1,1,1,1,1,2,859,55,1,1
2,4,1,5,1,4,1902,42,4,3
4,5,0,5,1,2,359,45,2,1
2,3,1,5,1,3,1969,51,5,3
1,5,1,5,1,5,1608,48,5,3
2,2,0,1,1,3,295,51,1,1
3,3,1,4,1,3,2611,58,3,3
4,3,1,4,1,2,2079,41,3,3
4,4,1,4,1,2,359,19,4,3
5,5,1,5,1,1,216,39,5,1
1,5,1,5,1,4,746,57,5,3
4,5,1,5,1,2,3540,30,5,3
4,4,1,4,1,4,826,25,4,2
2,2,0,1,1,4,1085,24,1,1
2,2,1,1,1,2,1045,25,2,1
1,4,1,3,1,3,2716,38,5,3
4,4,1,5,0,5,386,47,5,3
1,1,1,1,1,1,448,51,1,2
3,3,0,3,1,5,368,25,3,1
5,5,0,2,1,4,746,21,2,1
2,2,1,2,1,4,861,40,2,1
2,2,1,5,0,1,627,34,5,1
3,3,1,1,0,2,226,42,1,1
